raw,sub,hemisphere,acquisition,sample,chunk
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-1_Nissl.nii.gz,H003,R,Nissl,1,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-2_Gallyas.nii.gz,H003,R,Gallyas,5,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-2_Nissl.nii.gz,H003,R,Nissl,6,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-3_Gallyas.nii.gz,H003,R,Gallyas,10,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-3_Nissl.nii.gz,H003,R,Nissl,11,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-4_Gallyas.nii.gz,H003,R,Gallyas,15,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-4_Nissl.nii.gz,H003,R,Nissl,16,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-5_Gallyas.nii.gz,H003,R,Gallyas,20,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-5_Nissl.nii.gz,H003,R,Nissl,21,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-6_Gallyas.nii.gz,H003,R,Gallyas,25,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-6_Nissl.nii.gz,H003,R,Nissl,26,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-7_Gallyas.nii.gz,H003,R,Gallyas,30,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-7_Nissl.nii.gz,H003,R,Nissl,31,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-8_Gallyas.nii.gz,H003,R,Gallyas,35,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-8_Nissl.nii.gz,H003,R,Nissl,36,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-9_Gallyas.nii.gz,H003,R,Gallyas,40,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-9_Nissl.nii.gz,H003,R,Nissl,41,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-10_Gallyas.nii.gz,H003,R,Gallyas,45,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-10_Nissl.nii.gz,H003,R,Nissl,46,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-11_Gallyas.nii.gz,H003,R,Gallyas,50,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-11_Nissl.nii.gz,H003,R,Nissl,51,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-12_Gallyas.nii.gz,H003,R,Gallyas,55,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-12_Nissl.nii.gz,H003,R,Nissl,56,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-13_Gallyas.nii.gz,H003,R,Gallyas,60,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-14_Gallyas.nii.gz,H003,R,Gallyas,64,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-14_Nissl.nii.gz,H003,R,Nissl,65,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-15_Gallyas.nii.gz,H003,R,Gallyas,69,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-15_Nissl.nii.gz,H003,R,Nissl,70,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-16_Gallyas.nii.gz,H003,R,Gallyas,74,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-16_Nissl.nii.gz,H003,R,Nissl,75,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-17_Gallyas.nii.gz,H003,R,Gallyas,79,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-17_Nissl.nii.gz,H003,R,Nissl,80,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-18_Gallyas.nii.gz,H003,R,Gallyas,84,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-18_Nissl.nii.gz,H003,R,Nissl,85,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-19_Gallyas.nii.gz,H003,R,Gallyas,89,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-19_Nissl.nii.gz,H003,R,Nissl,90,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-20_Gallyas.nii.gz,H003,R,Gallyas,94,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-20_Nissl.nii.gz,H003,R,Nissl,95,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-21_Gallyas.nii.gz,H003,R,Gallyas,99,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-21_Nissl.nii.gz,H003,R,Nissl,100,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-22_Gallyas.nii.gz,H003,R,Gallyas,104,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-22_Nissl.nii.gz,H003,R,Nissl,105,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-23_Gallyas.nii.gz,H003,R,Gallyas,109,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-23_Nissl.nii.gz,H003,R,Nissl,110,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-24_Gallyas.nii.gz,H003,R,Gallyas,114,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-24_Nissl.nii.gz,H003,R,Nissl,115,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-25_Gallyas.nii.gz,H003,R,Gallyas,119,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-25_Nissl.nii.gz,H003,R,Nissl,120,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-26_Gallyas.nii.gz,H003,R,Gallyas,124,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-26_Nissl.nii.gz,H003,R,Nissl,125,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-27_Gallyas.nii.gz,H003,R,Gallyas,129,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-27_Nissl.nii.gz,H003,R,Nissl,130,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-28_Gallyas.nii.gz,H003,R,Gallyas,134,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-28_Nissl.nii.gz,H003,R,Nissl,135,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-30_Gallyas.nii.gz,H003,R,Gallyas,139,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-30_Nissl.nii.gz,H003,R,Nissl,140,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-31_Gallyas.nii.gz,H003,R,Gallyas,144,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-31_Nissl.nii.gz,H003,R,Nissl,145,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-32_Gallyas.nii.gz,H003,R,Gallyas,149,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-32_Nissl.nii.gz,H003,R,Nissl,150,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-33_Gallyas.nii.gz,H003,R,Gallyas,154,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-33_Nissl.nii.gz,H003,R,Nissl,155,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-34_Gallyas.nii.gz,H003,R,Gallyas,159,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-34_Nissl.nii.gz,H003,R,Nissl,160,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-35_Gallyas.nii.gz,H003,R,Gallyas,164,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-35_Nissl.nii.gz,H003,R,Nissl,165,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-36_Gallyas.nii.gz,H003,R,Gallyas,169,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-36_Nissl.nii.gz,H003,R,Nissl,170,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-37_Nissl.nii.gz,H003,R,Nissl,174,3
/media/tfunck/external/Thomas-H003Rbloc3NandG/nii/sub-H003_chunk-3_sample-38_Nissl.nii.gz,H003,R,Nissl,178,3
